ArraySize ,TimeTaken_insertion ,TimeTaken_quick
1000,0.0156242,0.0162839
2000,0.01799,0.0039919
3000,0.0339801,0
4000,0.0519685,0.0190076
5000,0.0599655,0.0159983
6000,0.0929465,0.0170047
7000,0.112615,0.0819706
8000,0.160495,0.0131146
9000,0.194401,0.104072
10000,0.204444,0.0269836
11000,0.249081,0.0469796
12000,0.295355,0.223498
13000,0.33922,0.0319981
14000,0.400127,0.0399976
15000,0.457982,0.0479985
16000,0.521561,0.444818
17000,0.600711,0.0319992
18000,0.684661,0.0319967
19000,0.758123,0.618652
20000,0.897216,0.0399984
21000,1.02707,0.0719925
22000,1.03,0.93654
23000,1.2918,1.04534
24000,1.48894,0.0479974
25000,1.42281,0.0479967
26000,1.7188,0.0640003
27000,1.73242,0.0880097
28000,1.68427,0.121337
29000,2.03632,1.44705
30000,2.1663,0.0559925
31000,1.99291,0.103703
32000,2.27675,0.14911
33000,2.33808,0.220144
34000,2.52225,0.216345
35000,2.5707,0.29958
36000,2.67303,0.291548
37000,3.00679,0.409895
38000,3.03845,0.439785
39000,3.11688,0.669283
40000,3.41592,0.858666
41000,3.60551,1.15202
42000,3.62618,1.31151
43000,3.91653,1.37654
44000,4.18127,1.53719
45000,5.26067,1.48445
46000,4.96357,1.83302
47000,4.88685,2.25907
48000,5.94593,2.19191
49000,5.65152,1.94139
50000,5.18798,1.68849
